ASSET_ID,NAME,SECONDARY_ADDRESS,STREET,TOWN,POSTCODE,NLPG,EASTING,NORTHING,GEO_X,GEO_Y,BUILDING GIA,SITE AREA,SITE TENURE,SITETYPE,SITE FUNCTION
801,BARTON FARM, , ,EXETER,EX5 2BU,10000270817,303479,92045,-3.367465758,50.71943274,0,241896,Leasehold Asset Leased(Out),Land and Buildings,Small holding - Residential
901,BAXTERS FARM, , ,AXMINSTER,EX13 6BB,1.0004E+11,327028,94255,-3.034339106,50.74274088,0,288267,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1001,BEARA DOWN FARM, , ,BARNSTAPLE,EX31 4TL,10012095643,265046,138249,-3.928789234,51.12707525,0,170084,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1201,GREAT BLAKEWELL FARM, , ,CHITTLEHAMTON,EX37 9AJ,10012097453,261962,124360,-3.967537718,51.00150788,0,604376,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1401,BUCKRIDGE FARM, , ,NEWTON ABBOT,TQ12 6EJ,10032962687,280348,69002,-3.687607341,50.50797428,0,249712,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1501,BULLEIGH ELMS CROSS FARM-MAIN FARM SITE, , ,NEWTON ABBOT,TQ12 5UA,10032953640,285554,66391,-3.613412055,50.48554115,0,562696,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1502,LAND AT COMBEFISHACRE FARM, , ,NEWTON ABBOT,TQ12 5UA,0,284732,65270,-3.624649706,50.47530168,0,323911,Freehold Asset Leased(Out),Land,Small holding - bare land
1601,CHAPEL FARM-MAIN FARM SITE, ,GUINEAFORD,BARNSTAPLE,EX31 4DZ,10000488114,254419,137219,-4.080153129,51.11521577,0,459467,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1603,CHAPEL FARM-LAND TRANSFERRED FROM HIGHER MUDDIFORD FARM, ,GUINEAFORD,BARNSTAPLE,EX31 4EA,10012113901,255910,137916,-4.059142144,51.12185682,0,341078,Freehold Asset Leased(Out),Land,Small holding - bare land
1701,CHURCHLANDS FARM, , ,ERMINGTON,PL21 9JP,10008922198,261333,55449,-3.95062971,50.38195236,0,150029,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1801,COBBERTON-MAIN FARM SITE, , ,TOTNES,TQ9  6DS,0,275695,60919,-3.750516569,50.43433944,0,8580,Freehold Asset Leased(Out),Land and Buildings,Small holding - Residential
1802,COBBERTON-LAND TRANSFERRED FROM HIGHER COBBERTON FARM, , ,TOTNES,TQ9  6DS,10015443623,275733,61026,-3.750017176,50.43530942,0,232989,Freehold Asset Leased(Out),Land,Small holding - bare land
1803,COBBERTON-LAND AT VENTON, , ,TOTNES,TQ9  6DS,10008911253,275265,61333,-3.756706771,50.43797004,0,344500,Freehold Asset Leased(Out),Land and Buildings,Small holding land and barns
2001,LAND REMAINING AT COBHAM WEEK, , ,OKEHAMPTON,EX20 4ET,0,250570,88030,-4.114983576,50.67215099,0,298146,Freehold Asset Leased(Out),Land,Small holding - bare land
